iter	Passed	Remaining
172	4666	22308
173	4687	22252
174	4707	22192
175	4733	22161
176	4761	22139
177	4790	22121
178	4813	22078
179	4836	22031
180	4857	21980
181	4882	21943
182	4913	21934
183	4949	21948
184	4981	21945
185	5018	21961
186	5060	21999
187	5085	21966
188	5111	21932
189	5135	21891
190	5163	21869
191	5192	21853
192	5216	21814
193	5238	21762
194	5259	21713
195	5281	21664
196	5307	21632
197	5329	21585
198	5353	21549
199	5376	21504
200	5398	21460
201	5423	21424
202	5446	21384
203	5473	21357
204	5506	21355
205	5540	21354
206	5572	21349
207	5604	21341
208	5634	21325
209	5653	21269
210	5673	21216
211	5694	21167
212	5714	21112
213	5733	21059
214	5753	21008
215	5776	20965
216	5797	20919
217	5816	20865
218	5838	20819
219	5859	20773
220	5882	20736
221	5904	20693
222	5924	20643
223	5943	20589
224	5974	20579
225	5998	20542
226	6019	20498
227	6042	20460
228	6061	20407
229	6080	20357
230	6100	20308
231	6120	20261
232	6139	20208
233	6164	20179
234	6188	20144
235	6207	20096
236	6228	20051
237	6247	20003
238	6269	19961
239	6292	19926
240	6314	19886
241	6334	19840
242	6355	19798
243	6376	19758
244	6397	19713
245	6419	19674
246	6437	19626
247	6459	19587
248	6479	19541
249	6500	19500
250	6519	19455
251	6544	19426
252	6567	19391
253	6589	19354
254	6615	19326
255	6633	19279
256	6655	19242
257	6678	19206
258	6697	19160
259	6717	19119
260	6738	19079
261	6760	19042
262	6779	18998
263	6801	18960
264	6821	18918
265	6843	18882
266	6865	18848
267	6885	18806
268	6905	18764
269	6926	18727
270	6949	18693
271	6970	18655
272	6994	18625
273	7017	18594
274	7039	18558
275	7060	18520
276	7079	18478
277	7101	18443
278	7122	18405
279	7148	18381
280	7167	18338
281	7188	18303
282	7209	18264
283	7232	18233
284	7253	18196
285	7272	18155
286	7293	18118
287	7314	18082
288	7334	18043
289	7355	18007
290	7378	17977
291	7404	17952
292	7423	17911
293	7441	17869
294	7462	17834
295	7482	17795
296	7502	17759
297	7524	17726
298	7549	17698
299	7570	17664
300	7591	17630
301	7612	17595
302	7634	17562
303	7656	17529
304	7677	17495
305	7698	17459
306	7718	17422
307	7738	17386
308	7757	17346
309	7777	17312
310	7798	17276
311	7817	17239
312	7838	17205
313	7863	17179
314	7884	17145
315	7901	17103
316	7926	17078
317	7946	17041
318	7967	17008
319	7986	16970
320	8004	16930
321	8023	16895
322	8046	16865
323	8067	16832
324	8088	16798
325	8109	16766
326	8129	16731
327	8151	16699
328	8172	16668
329	8190	16629
330	8211	16596
331	8232	16564
332	8254	16534
333	8274	16498
334	8295	16468
335	8314	16431
336	8338	16405
337	8359	16371
338	8383	16346
339	8404	16315
340	8422	16277
341	8443	16244
342	8463	16210
343	8483	16178
344	8508	16153
345	8528	16119
346	8547	16085
347	8566	16049
348	8589	16022
349	8611	15992
350	8634	15965
351	8653	15930
352	8673	15898
353	8695	15867
354	8719	15841
355	8740	15812
356	8761	15779
357	8780	15746
358	8802	15716
359	8825	15689
360	8847	15660
361	8872	15636
362	8894	15608
363	8914	15575
364	8938	15550
365	8958	15518
366	8982	15492
367	9005	15466
368	9025	15433
369	9044	15399
370	9065	15370
371	9087	15342
372	9112	15317
373	9131	15284
374	9151	15252
375	9170	15218
376	9190	15188
377	9212	15159
378	9234	15130
379	9256	15102
380	9279	15075
381	9301	15047
382	9320	15014
383	9342	14986
384	9361	14953
385	9386	14931
386	9407	14900
387	9433	14879
388	9457	14854
389	9479	14827
390	9501	14798
391	9529	14780
392	9557	14761
393	9581	14736
394	9603	14709
395	9625	14681
396	9648	14654
397	9673	14632
398	9696	14605
399	9718	14577
400	9737	14546
401	9761	14521
